id,estado,motivo,dimensiones_normalizada,guardada,frente_detectado,espalda_detectada
AIM-P002-075.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P002-076.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=399",552x340,ok-saved,si,si
AIM-P002-077.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=362",557x353,ok-saved,si,si
AIM-P002-078.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=398",552x352,ok-saved,si,si
AIM-P002-079.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",545x352,ok-saved,si,si
AIM-P002-080.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",544x353,ok-saved,si,si
AIM-P002-081.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",551x352,ok-saved,si,si
AIM-P002-082.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",550x352,ok-saved,si,si
AIM-P002-083.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",547x352,ok-saved,si,si
AIM-P002-084.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",543x352,ok-saved,si,si
AIM-P002-085.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",541x352,ok-saved,si,si
AIM-P002-086.jpg,ok,"logo separado de bloque ancho x[91:703] | frente/espalda fusionados, separados en x=2428",700x456,ok-saved,si,si
AIM-P002-087.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=399",544x352,ok-saved,si,si
AIM-P002-088.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x353,ok-saved,si,si
AIM-P002-089.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=394",546x354,ok-saved,si,si
AIM-P002-090.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",541x352,ok-saved,si,si
AIM-P002-091.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=386",557x352,ok-saved,si,si
AIM-P002-092.jpg,ok,"logo separado de bloque ancho x[14:115] | frente/espalda fusionados, separados en x=395",545x352,ok-saved,si,si
AIM-P002-093.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P002-094.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=399",546x352,ok-saved,si,si
AIM-P002-095.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=400",546x352,ok-saved,si,si
AIM-P002-096.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=396",545x353,ok-saved,si,si
AIM-P002-097.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",541x352,ok-saved,si,si
AIM-P002-098.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",550x352,ok-saved,si,si
AIM-P002-099.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=400",549x352,ok-saved,si,si
AIM-P002-100.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",554x352,ok-saved,si,si
AIM-P002-101.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",556x353,ok-saved,si,si
AIM-P002-102.jpg,ok,"logo separado de bloque ancho x[14:115] | frente/espalda fusionados, separados en x=395",545x352,ok-saved,si,si
AIM-P002-103.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P002-104.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",547x352,ok-saved,si,si
AIM-P002-105.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P002-106.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",544x353,ok-saved,si,si
AIM-P002-107.jpg,ok,logo separado de bloque ancho x[15:21],648x353,ok-saved,si,si
AIM-P002-108.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",543x352,ok-saved,si,si
AIM-P002-109.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P002-110.jpg,ok,"logo separado de bloque ancho x[17:118] | frente/espalda fusionados, separados en x=397",550x353,ok-saved,si,si
